,Unnamed: 0,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt,controversial-score,POPULARITY
2372,2401,_2nonHxwABI,RandomSisters,1127.0,Comedy,14.0,16502,4.48,27,33,14,1.999757605138771,0.16860241348713398
426,436,7m_hBv90Vc0,AnachronaMatthewwpir,1134.0,Comedy,171.0,1329,2.67,55,20,20,15.048908954100828,0.16802195767195766
626,640,hkK4aJ5_ycw,netwinner,794.0,People & Blogs,126.0,1450,5.0,6,136,0,93.79310344827586,0.16782619647355165
2075,2104,bySctQSPNfE,RevolutionOfCG,1087.0,Education,246.0,2762,3.69,29,58,20,20.99927588703838,0.1675509383624655
3301,3332,8CS1FuHW-n8,fr4jo4,1106.0,Music,399.0,185,0.0,0,0,8,0.0,0.16726943942133815
3493,3527,4wISXJfC9Zo,Lusajfer,1080.0,People & Blogs,272.0,179,0.0,0,0,0,0.0,0.16574074074074074
3130,3160,Qjvmg9AZRdc,HiMobile,799.0,Entertainment,417.0,29260,3.93,28,19,14,0.6493506493506493,0.16566077596996245
3458,3491,Cda1mizqQjw,apodots,711.0,Film & Animation,207.0,19515,3.29,35,23,20,1.1785805790417627,0.16559725738396625
2476,2506,Jt6DyFbR4Ac,INGWorx,1003.0,People & Blogs,271.0,2469,4.79,29,24,20,9.720534629404616,0.16537161515453638
2805,2835,5OL1Jq1WsOc,miggyi,1125.0,Entertainment,247.0,186,0.0,0,5,0,26.881720430107528,0.16533333333333333
2138,2167,6R1wmClXIJw,crabapplestudio,881.0,Film & Animation,357.0,4617,4.58,31,18,20,3.898635477582846,0.16522063564131667
1189,1207,z7sLFhTVMyE,60frames,1101.0,Comedy,206.0,4263,4.97,29,17,20,3.9878020173586677,0.16500193460490462
1355,1376,lDVCv-AEKyk,mrmoneyun,1080.0,Entertainment,62.0,178,0.0,0,0,20,0.0,0.1648148148148148
468,480,CdpkTKmILJc,NicolasIsReal,1132.0,Comedy,130.0,3693,2.98,42,36,20,9.74817221770918,0.1644223674911661
2487,2517,1xUIc0PJIBQ,all4tubekids,1021.0,Entertainment,63.0,1277,4.86,28,27,20,21.1433046202036,0.16433073457394712
1171,1189,Fvmi2zROPbc,JezMM,922.0,Comedy,81.0,1206,4.74,31,16,0,13.266998341625207,0.16424802603036875
993,1011,kXeamc7e31c,kipkay,1095.0,Howto & Style,72.0,14413,5.0,26,21,20,1.4570179698882952,0.16416255707762556
3865,3899,j8yvYso7YkI,komaboy,798.0,Music,89.0,131,0.0,0,0,0,0.0,0.16416040100250626
2728,2758,6Vaa6Iuvs5g,littlecatt814,693.0,Film & Animation,599.0,28482,4.96,24,4,20,0.14043957587248088,0.1641395670995671
2173,2202,OnULc0byvZ8,jtsodergren,795.0,Music,99.0,9564,4.48,21,58,20,6.064408197406943,0.16411018867924532
1343,1364,ajRufWkca74,XboxBrain,1087.0,Entertainment,91.0,178,0.0,0,0,8,0.0,0.16375344986200552
688,703,qR28n3L4f9A,blaggabloogy,1134.0,Comedy,71.0,5068,4.37,30,28,20,5.524861878453039,0.16356913580246912
2154,2183,Ap1Kpc90fiw,crazykyle06,1112.0,Education,81.0,8987,4.16,25,51,14,5.674863691999555,0.1630818345323741
2586,2616,CxfwTCryzHs,ruffliferescue,681.0,Pets & Animals,244.0,15610,4.92,25,17,14,1.0890454836643177,0.16292217327459618
558,571,JsX9db1e7s0,ConanOBrianFAN,1135.0,People & Blogs,340.0,709,4.1,21,76,20,107.19322990126939,0.16272466960352422
1797,1826,jBDAxdxYlYU,Davidthorough,1021.0,Education,131.0,4884,4.06,32,28,20,5.733005733005733,0.1627035455435847
580,593,#NAME?,electricstormx,1105.0,People & Blogs,15.0,6205,4.09,22,67,20,10.797743755036262,0.1625953846153846
566,579,NVdztvwn1JI,kortsta,1131.0,People & Blogs,28.0,16400,3.83,24,56,20,3.4146341463414633,0.162420442086649
2153,2182,mS7eBwEHQS0,tvbodaga,775.0,News & Politics,202.0,12623,4.45,20,57,14,4.515566822466925,0.16228774193548387
1657,1685,yJxRTMUjP4Q,cokonice,1130.0,Music,211.0,1517,4.69,26,39,20,25.708635464733028,0.16228247787610622
3276,3306,lseVS97EF3A,jimvdberg,1020.0,Travel & Events,242.0,165,0.0,0,0,20,0.0,0.16176470588235295
2468,2498,8IQcGzM_yeM,minglichai,1127.0,Science & Technology,73.0,182,0.0,0,0,20,0.0,0.16149068322981366
3288,3319,OIRiYXaMZAg,xhalefilms,975.0,Sports,243.0,4580,4.73,30,14,20,3.056768558951965,0.16059743589743591
47,47,6KqmfUFZbBw,ScrappleFace,1134.0,News & Politics,45.0,12971,4.57,23,44,14,3.3921825610978336,0.1605482716049383
2976,3006,ti-nTDUl_M0,CBS,801.0,Sports,51.0,12924,4.37,30,13,20,1.0058805323429278,0.16023483146067413
3267,3297,wDKaX0xkUmE,badboy4lyfe2,968.0,Entertainment,628.0,6831,5.0,27,18,0,2.635046113306983,0.1600568181818182
